epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,246.847,0.79428,0.53331,0.87459,0.99984,0.98462,0.9949,0.81923,0.70965,0.44629,0.8807,0.0011684,0.0011684,0.0011684
44,252.486,0.81787,0.52787,0.88078,0.99931,0.98462,0.99485,0.80926,0.69551,0.44947,0.87973,0.0011486,0.0011486,0.0011486
45,258.175,0.75872,0.51397,0.87242,0.99884,0.98462,0.9948,0.81468,0.67413,0.42955,0.86025,0.0011288,0.0011288,0.0011288
46,263.766,0.78473,0.50072,0.88204,1,0.99952,0.995,0.81173,0.66131,0.43155,0.85532,0.001109,0.001109,0.001109
47,269.337,0.78635,0.50779,0.86364,0.99854,1,0.995,0.80587,0.69072,0.4114,0.85874,0.0010892,0.0010892,0.0010892
48,275.018,0.86625,0.52539,0.88284,0.99903,1,0.995,0.80994,0.71988,0.43208,0.85851,0.0010694,0.0010694,0.0010694
49,280.678,0.78065,0.49942,0.8879,0.99893,1,0.995,0.82328,0.64335,0.4033,0.85561,0.0010496,0.0010496,0.0010496
50,286.515,0.75015,0.48513,0.87444,1,0.99437,0.995,0.81501,0.71186,0.44383,0.87049,0.0010298,0.0010298,0.0010298
51,292.115,0.80682,0.51386,0.85813,1,0.98944,0.99475,0.82852,0.72686,0.43533,0.86282,0.00101,0.00101,0.00101
52,297.8,0.76549,0.4878,0.86493,1,0.98899,0.9949,0.81353,0.68598,0.41483,0.85648,0.0009902,0.0009902,0.0009902
53,303.366,0.76137,0.47411,0.86497,0.99926,0.98462,0.99485,0.81688,0.68646,0.40333,0.85934,0.0009704,0.0009704,0.0009704
54,309.054,0.77399,0.4686,0.85893,0.99893,1,0.995,0.83035,0.67872,0.39046,0.85123,0.0009506,0.0009506,0.0009506
55,314.803,0.73883,0.47698,0.84602,0.99766,1,0.995,0.8306,0.64533,0.3915,0.84052,0.0009308,0.0009308,0.0009308
56,320.494,0.73404,0.45766,0.85874,0.99849,1,0.995,0.82781,0.65207,0.37967,0.84272,0.000911,0.000911,0.000911
57,326.025,0.75169,0.47559,0.87043,0.99898,1,0.995,0.8241,0.65196,0.39632,0.84041,0.0008912,0.0008912,0.0008912
58,331.626,0.75825,0.4733,0.89709,0.99621,1,0.995,0.82489,0.63673,0.40114,0.84074,0.0008714,0.0008714,0.0008714
59,337.544,0.70915,0.4469,0.8557,0.99794,1,0.995,0.83579,0.62384,0.39249,0.83985,0.0008516,0.0008516,0.0008516
60,343.671,0.69427,0.4451,0.84702,0.99823,1,0.995,0.85264,0.57617,0.3686,0.83627,0.0008318,0.0008318,0.0008318
